Season,Name,Team,Archetype,PC1,PC2,CY_winner,Share
2025,Gavin Williams,CLE,Cutter/East-West Artist,0.1666350720187359,-1.9100885646921728,0,0.0
2025,Tanner Bibee,CLE,Cutter/East-West Artist,0.0010970202383925889,-1.1398081799166693,0,0.0
2025,Jack Leiter,TEX,Fastball/Sinker Hybrid,-0.6088617713572287,-1.2635281205159161,0,0.0
2025,Will Warren,NYY,Fastball/Sinker Hybrid,0.06105757545130857,-1.4761157500046869,0,0.0
2025,Noah Cameron,KCR,North/South Power Starter,-1.425846808112962,-1.9204431477370536,0,0.0
2025,Hunter Dobbins,BOS,Power Splitter/Forkballer,6.325320712735564,-2.0745061236133258,0,0.0
2025,Bryan Woo,SEA,Fastball/Sinker Hybrid,-0.5421865222571672,1.1453605007191077,0,0.12
2025,Colton Gordon,HOU,Kitchen Sink/Finesse Mix,-2.0701524632635175,-0.49565015115514555,0,0.0
2025,Jacob Misiorowski,MIL,North/South Power Starter,-1.2330448842643689,-2.0325501443432787,0,0.0
2025,Shane Smith,CHW,Fastball/Sinker Hybrid,-0.7350842073146657,-1.4217709311620803,0,0.0
2025,Jonathan Cannon,CHW,Cutter/East-West Artist,0.268234009275711,1.069330597827993,0,0.0
2025,Zebby Matthews,MIN,Cutter/East-West Artist,0.053463781727790476,-1.0412730499061766,0,0.0
2025,Kodai Senga,NYM,Cutter/East-West Artist,2.5337336683610276,-1.2915175253901432,0,0.0
2025,Kumar Rocker,TEX,Cutter/East-West Artist,0.18019485292425214,-1.118798071737938,0,0.0
2025,Spencer Schwellenbach,ATL,Power Splitter/Forkballer,6.067202161934723,-1.8243640664749325,0,0.0
2025,Cade Horton,CHC,Fastball/Sinker Hybrid,-1.1181907967118643,-1.0919319178858164,0,0.0
2025,Brad Lord,WSN,Fastball/Sinker Hybrid,-0.807837543854071,-0.8445204981371248,0,0.0
2025,Cam Schlittler,NYY,Cutter/East-West Artist,2.732109403088877,-1.9527138057341171,0,0.0
2025,Chase Dollander,COL,Cutter/East-West Artist,0.043828272498496405,-1.838553130218648,0,0.0
2025,Hurston Waldrep,ATL,Power Splitter/Forkballer,6.657347930437257,-2.0163713104455976,0,0.0
2025,Paul Skenes,PIT,Power Splitter/Forkballer,3.763599250360883,-1.3439295137000542,1,1.0
2025,Logan Evans,SEA,Cutter/East-West Artist,0.3911305500949307,-1.4978905848558617,0,0.0
2025,Yoshinobu Yamamoto,LAD,Power Splitter/Forkballer,7.363006004267152,-2.7647377293930973,0,0.34
